family,variant,title,accession,length,brazil_filter,recent_filter
mecA,,"Streptococcus pyogenes isolate 2026DU-00091, whole genome shotgun sequencing project",ACCYOA000000000.1,19,False,True
mecA,,"Streptococcus pyogenes isolate 2026DU-00090, whole genome shotgun sequencing project",ACCYNZ000000000.1,24,False,True
mecA,,"Streptococcus pyogenes isolate 2026DU-00089, whole genome shotgun sequencing project",ACCYNY000000000.1,20,False,True
mecA,,"Streptococcus pyogenes isolate 2026DU-00085, whole genome shotgun sequencing project",ACCYNV000000000.1,21,False,True
mecA,,"Streptococcus pyogenes isolate 2026DU-00087, whole genome shotgun sequencing project",ACCYNX000000000.1,19,False,True
mecA,,"Streptococcus pyogenes isolate 2026DU-00096, whole genome shotgun sequencing project",ACCYOD000000000.1,34,False,True
mecA,,"Streptococcus pyogenes isolate 2026DU-00088, whole genome shotgun sequencing project",ACCYOE000000000.1,23,False,True
mecA,,"Streptococcus pyogenes isolate 2026DU-00092, whole genome shotgun sequencing project",ACCYOC000000000.1,21,False,True
mecA,,"Streptococcus pyogenes isolate 2026DU-00093, whole genome shotgun sequencing project",ACCYOB000000000.1,20,False,True
mecA,,"Listeria monocytogenes strain PNUSAL026195, whole genome shotgun sequencing project",ACCYNK000000000.1,20,False,True
mecA,,"Listeria monocytogenes strain PNUSAL026196, whole genome shotgun sequencing project",ACCYNI000000000.1,21,False,True
mecA,,"Listeria monocytogenes strain PNUSAL026193, whole genome shotgun sequencing project",ACCYMC000000000.1,18,False,True
mecA,,"Listeria monocytogenes strain PNUSAL026194, whole genome shotgun sequencing project",ACCYLK000000000.1,18,False,True
mecA,,"Listeria monocytogenes strain PNUSAL026192, whole genome shotgun sequencing project",ACCYJP000000000.1,20,False,True
mecA,,"TPA_asm: Streptococcus pneumoniae strain uvzsr-PT_26_00018-H12-AR_25_00001750, whole genome shotgun sequencing project",DBNFOP000000000.1,237,False,True
mecA,,"Listeria monocytogenes strain 01936189, whole genome shotgun sequencing project",ACCYFH000000000.1,36,False,True
mecA,,"Listeria monocytogenes strain 01935561, whole genome shotgun sequencing project",ACCYFJ000000000.1,35,False,True
mecA,,"Listeria monocytogenes strain 01935563, whole genome shotgun sequencing project",ACCYFC000000000.1,39,False,True
mecA,,"Listeria monocytogenes strain 01935562, whole genome shotgun sequencing project",ACCYFA000000000.1,21,False,True
mecA,,"Listeria monocytogenes strain 01936190, whole genome shotgun sequencing project",ACCYEY000000000.1,33,False,True
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFND000000000.1,43,False,True
mecA,,"TPA_asm: Streptococcus pneumoniae isolate SPN, whole genome shotgun sequencing project",DBNFNC000000000.1,24,False,True
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFNE000000000.1,24,False,True
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFNB000000000.1,25,False,True
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMS000000000.1,21,False,True
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMZ000000000.1,36,False,True
mecA,,"TPA_asm: Streptococcus pneumoniae isolate SPN, whole genome shotgun sequencing project",DBNFMU000000000.1,23,False,True
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMY000000000.1,15,False,True
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFNA000000000.1,13,False,True
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMT000000000.1,23,False,True
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMV000000000.1,21,False,True
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMW000000000.1,17,False,True
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMX000000000.1,38,False,True
mecA,,"TPA_asm: Streptococcus pyogenes isolate GAS, whole genome shotgun sequencing project",DBNFMN000000000.1,17,False,True
mecA,,"TPA_asm: Streptococcus pneumoniae isolate SPN, whole genome shotgun sequencing project",DBNFMK000000000.1,29,False,True
mecA,,"Staphylococcus caprae strain 26D chromosome, complete genome",NZ_CP031271.1,2662916,True,False
mecA,,"Staphylococcus aureus strain MRSA_40_Hy 1, whole genome shotgun sequence",NZ_JBJJNN010000001.1,2182168,True,False
mecA,,"Staphylococcus aureus strain MRSA_14_Hy 1, whole genome shotgun sequence",NZ_JBJJNO010000001.1,2757440,True,False
mecA,,"TPA_asm: Bacillus paranthracis strain B0029.24, whole genome shotgun sequencing project",DBMWMA000000000.1,89,True,False
mecA,,"Staphylococcus aureus strain 13 chromosome, complete genome",NZ_CP031265.1,2737143,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 700E24spy, whole genome shotgun sequencing project",DBMSNO000000000.1,39,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 3E24spy, whole genome shotgun sequencing project",DBMSKI000000000.1,29,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 54E24spy, whole genome shotgun sequencing project",DBMSIO000000000.1,30,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 57E24spy, whole genome shotgun sequencing project",DBMSIN000000000.1,23,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 17E23spy, whole genome shotgun sequencing project",DBMSIP000000000.1,39,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 12E24spy, whole genome shotgun sequencing project",DBMSIG000000000.1,30,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 4E24spy, whole genome shotgun sequencing project",DBMSIM000000000.1,43,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 09E24spy, whole genome shotgun sequencing project",DBMSIL000000000.1,35,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 84E24spy, whole genome shotgun sequencing project",DBMSIE000000000.1,28,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 08E24spy, whole genome shotgun sequencing project",DBMSIH000000000.1,36,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 35E24spy, whole genome shotgun sequencing project",DBMSII000000000.1,66,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 28E24spy, whole genome shotgun sequencing project",DBMSIJ000000000.1,49,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 90E23spy, whole genome shotgun sequencing project",DBMSIF000000000.1,43,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 36E24spy, whole genome shotgun sequencing project",DBMSIK000000000.1,31,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 750Mspy, whole genome shotgun sequencing project",DBMSHX000000000.1,24,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 77E24spy, whole genome shotgun sequencing project",DBMSHY000000000.1,41,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 806E24spy, whole genome shotgun sequencing project",DBMSIC000000000.1,24,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 128E24spy, whole genome shotgun sequencing project",DBMSIA000000000.1,15,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 9E25spy, whole genome shotgun sequencing project",DBMSID000000000.1,30,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 747Mspy, whole genome shotgun sequencing project",DBMSHW000000000.1,32,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 68E24spy, whole genome shotgun sequencing project",DBMSIB000000000.1,28,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 100E23spy, whole genome shotgun sequencing project",DBMSHZ000000000.1,57,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 126E23spy, whole genome shotgun sequencing project",DBMSHU000000000.1,32,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 67Mspy, whole genome shotgun sequencing project",DBMSHV000000000.1,27,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 868E24spy, whole genome shotgun sequencing project",DBMSHQ000000000.1,30,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 841E24spy, whole genome shotgun sequencing project",DBMSHO000000000.1,37,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 805E24spy, whole genome shotgun sequencing project",DBMSHM000000000.1,25,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 51E24spy, whole genome shotgun sequencing project",DBMSHS000000000.1,30,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 85E24spy, whole genome shotgun sequencing project",DBMSHR000000000.1,33,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 800E24spy, whole genome shotgun sequencing project",DBMSHL000000000.1,34,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 814E24spy, whole genome shotgun sequencing project",DBMSHN000000000.1,28,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 871E24spy, whole genome shotgun sequencing project",DBMSHT000000000.1,45,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 867E24spy, whole genome shotgun sequencing project",DBMSHP000000000.1,26,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 804E24spy, whole genome shotgun sequencing project",DBMSHK000000000.1,30,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 356E24spy, whole genome shotgun sequencing project",DBMSHJ000000000.1,28,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 56E23spy, whole genome shotgun sequencing project",DBMSHI000000000.1,29,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 266E24spy, whole genome shotgun sequencing project",DBMSHE000000000.1,54,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 281E24spy, whole genome shotgun sequencing project",DBMSHF000000000.1,29,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 219E24spy, whole genome shotgun sequencing project",DBMSHC000000000.1,30,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 268E24spy, whole genome shotgun sequencing project",DBMSHG000000000.1,34,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 282E24spy, whole genome shotgun sequencing project",DBMSHD000000000.1,29,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 280E24spy, whole genome shotgun sequencing project",DBMSHH000000000.1,27,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 185E24spy, whole genome shotgun sequencing project",DBMSHB000000000.1,23,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 137E24spy, whole genome shotgun sequencing project",DBMSGX000000000.1,26,True,False
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 126E24spy, whole genome shotgun sequencing project",DBMSGU000000000.1,27,True,False
mecA,,"Staphylococcus aureus strain MRSA_40_Hy 1, whole genome shotgun sequence",NZ_JBJJNN010000001.1,2182168,True,True
mecA,,"Staphylococcus aureus strain MRSA_14_Hy 1, whole genome shotgun sequence",NZ_JBJJNO010000001.1,2757440,True,True
mecA,,"TPA_asm: Bacillus paranthracis strain B0029.24, whole genome shotgun sequencing project",DBMWMA000000000.1,89,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 700E24spy, whole genome shotgun sequencing project",DBMSNO000000000.1,39,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 3E24spy, whole genome shotgun sequencing project",DBMSKI000000000.1,29,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 54E24spy, whole genome shotgun sequencing project",DBMSIO000000000.1,30,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 57E24spy, whole genome shotgun sequencing project",DBMSIN000000000.1,23,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 17E23spy, whole genome shotgun sequencing project",DBMSIP000000000.1,39,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 12E24spy, whole genome shotgun sequencing project",DBMSIG000000000.1,30,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 4E24spy, whole genome shotgun sequencing project",DBMSIM000000000.1,43,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 09E24spy, whole genome shotgun sequencing project",DBMSIL000000000.1,35,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 84E24spy, whole genome shotgun sequencing project",DBMSIE000000000.1,28,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 08E24spy, whole genome shotgun sequencing project",DBMSIH000000000.1,36,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 35E24spy, whole genome shotgun sequencing project",DBMSII000000000.1,66,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 28E24spy, whole genome shotgun sequencing project",DBMSIJ000000000.1,49,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 90E23spy, whole genome shotgun sequencing project",DBMSIF000000000.1,43,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 36E24spy, whole genome shotgun sequencing project",DBMSIK000000000.1,31,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 750Mspy, whole genome shotgun sequencing project",DBMSHX000000000.1,24,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 77E24spy, whole genome shotgun sequencing project",DBMSHY000000000.1,41,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 806E24spy, whole genome shotgun sequencing project",DBMSIC000000000.1,24,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 128E24spy, whole genome shotgun sequencing project",DBMSIA000000000.1,15,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 9E25spy, whole genome shotgun sequencing project",DBMSID000000000.1,30,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 747Mspy, whole genome shotgun sequencing project",DBMSHW000000000.1,32,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 68E24spy, whole genome shotgun sequencing project",DBMSIB000000000.1,28,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 100E23spy, whole genome shotgun sequencing project",DBMSHZ000000000.1,57,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 126E23spy, whole genome shotgun sequencing project",DBMSHU000000000.1,32,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 67Mspy, whole genome shotgun sequencing project",DBMSHV000000000.1,27,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 868E24spy, whole genome shotgun sequencing project",DBMSHQ000000000.1,30,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 841E24spy, whole genome shotgun sequencing project",DBMSHO000000000.1,37,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 805E24spy, whole genome shotgun sequencing project",DBMSHM000000000.1,25,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 51E24spy, whole genome shotgun sequencing project",DBMSHS000000000.1,30,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 85E24spy, whole genome shotgun sequencing project",DBMSHR000000000.1,33,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 800E24spy, whole genome shotgun sequencing project",DBMSHL000000000.1,34,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 814E24spy, whole genome shotgun sequencing project",DBMSHN000000000.1,28,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 871E24spy, whole genome shotgun sequencing project",DBMSHT000000000.1,45,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 867E24spy, whole genome shotgun sequencing project",DBMSHP000000000.1,26,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 804E24spy, whole genome shotgun sequencing project",DBMSHK000000000.1,30,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 356E24spy, whole genome shotgun sequencing project",DBMSHJ000000000.1,28,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 56E23spy, whole genome shotgun sequencing project",DBMSHI000000000.1,29,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 266E24spy, whole genome shotgun sequencing project",DBMSHE000000000.1,54,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 281E24spy, whole genome shotgun sequencing project",DBMSHF000000000.1,29,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 219E24spy, whole genome shotgun sequencing project",DBMSHC000000000.1,30,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 268E24spy, whole genome shotgun sequencing project",DBMSHG000000000.1,34,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 282E24spy, whole genome shotgun sequencing project",DBMSHD000000000.1,29,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 280E24spy, whole genome shotgun sequencing project",DBMSHH000000000.1,27,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 185E24spy, whole genome shotgun sequencing project",DBMSHB000000000.1,23,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 137E24spy, whole genome shotgun sequencing project",DBMSGX000000000.1,26,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 126E24spy, whole genome shotgun sequencing project",DBMSGU000000000.1,27,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 135E24spy, whole genome shotgun sequencing project",DBMSGV000000000.1,39,True,True
mecA,,"TPA_asm: Streptococcus pyogenes strain Spy isolate 119E24spy, whole genome shotgun sequencing project",DBMSGW000000000.1,26,True,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_304, whole genome shotgun sequencing project",DBNEVY000000000.1,115,False,False
blaKPC,,"Proteus mirabilis isolate 2026CE-CRO_03_26_001, whole genome shotgun sequencing project",ACCQZM000000000.1,143,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate K58, whole genome shotgun sequencing project",DBMZVC000000000.1,70,False,False
blaKPC,,"Klebsiella pneumoniae BCKpn9 blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-296, complete CDS",NG_246046.1,1118,False,False
blaKPC,,"Klebsiella pneumoniae 383Kp blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-295, complete CDS",NG_246045.1,1088,False,False
blaKPC,,"Enterobacter cloacae M30019 blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-294, complete CDS",NG_246044.1,882,False,False
blaKPC,,"Klebsiella pneumoniae BCKpn12 blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-293, complete CDS",NG_246043.1,1082,False,False
blaKPC,,"Klebsiella pneumoniae M28900 blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-292, complete CDS",NG_246042.1,882,False,False
blaKPC,,"Klebsiella pneumoniae KP251 blaKPC gene for class A beta-lactamase KPC-291, complete CDS",NG_246041.1,1076,False,False
blaKPC,,"Klebsiella pneumoniae KPN250380 blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-290, complete CDS",NG_246040.1,882,False,False
